product_id,product_name,category,brand,price_1_month_ago,price_1_week_ago,original_price,discounted_price,discount_percentage,competitor_price,rating,num_reviews,stock_left,is_flash_sale,is_fake_discount
P00019,JBL Bluetooth Speaker,Electronics,JBL,11677.0,11061.0,12551,10428,16.91,10557.0,4.0,,127.0,0,0
P00020,Samsung Galaxy S23,Electronics,Samsung,73440.0,74291.0,78255,67974,13.14,65342.0,4.4,3010.0,192.0,0,0
P00021,Dell Inspiron Laptop,Electronics,Dell,71619.0,80632.0,83867,67881,19.06,68102.0,2.8,5821.0,24.0,1,0
P00022,Adidas Sneakers,Fashion,Adidas,4543.0,4442.0,5232,4690,10.36,4913.0,3.9,5841.0,105.0,0,0
P00023,Puma Casual T-Shirt,Fashion,Puma,1374.0,1167.0,1255,1060,15.54,1096.0,3.8,3599.0,127.0,1,0
P00024,Godrej Office Chair,Furniture,Godrej,9239.0,8866.0,9465,8110,14.32,9073.0,3.8,3557.0,34.0,0,0
P00025,iPhone 13,Electronics,Apple,61251.0,63068.0,82728,64712,21.78,71389.0,4.1,775.0,221.0,0,0
P00026,Puma Casual T-Shirt,Fashion,Puma,1974.0,1967.0,2629,2058,21.72,2217.0,4.2,5265.0,50.0,0,0
P00027,Nike Running Shoes,Fashion,Nike,2949.0,2976.0,3592,2834,21.1,2852.0,4.0,3531.0,34.0,0,0
P00028,LG Refrigerator,Appliances,LG,18251.0,15472.0,21483,18450,14.12,20251.0,4.6,5218.0,185.0,1,0
P00029,Boat Smart Watch,Electronics,Boat,4380.0,4190.0,5028,3984,20.76,4061.0,3.0,2718.0,63.0,0,0
P00030,JBL Bluetooth Speaker,Electronics,JBL,3911.0,4212.0,4283,3959,7.56,3896.0,4.0,3705.0,97.0,0,0
P00031,Samsung Galaxy S23,Electronics,Samsung,67801.0,73696.0,93168,74118,20.45,74112.0,3.9,5474.0,137.0,0,0
P00032,Boat Smart Watch,Electronics,Boat,2697.0,2605.0,2996,2453,18.12,2411.0,3.8,1108.0,223.0,0,0
P00033,Nike Running Shoes,Fashion,Nike,5125.0,4607.0,5434,4164,23.37,4218.0,4.8,2598.0,235.0,1,1
P00034,Samsung Galaxy S23,Electronics,Samsung,84742.0,86173.0,100064,76228,23.82,73201.0,3.1,4036.0,195.0,0,0
P00035,iPhone 13,Electronics,Apple,61030.0,60189.0,73962,61021,17.5,59635.0,3.9,2686.0,138.0,0,0
P00036,Boat Smart Watch,Electronics,Boat,6128.0,7871.0,7961,6206,22.04,6943.0,3.2,5729.0,93.0,1,0
P00037,Nike Running Shoes,Fashion,Nike,4990.0,5807.0,5561,4562,17.96,4413.0,4.2,3164.0,46.0,1,0
P00038,LG Refrigerator,Appliances,LG,18696.0,19085.0,22553,19328,14.3,21378.0,4.1,3724.0,38.0,0,0
P00039,Ikea Wooden Dining Table,Furniture,Ikea,48288.0,42467.0,50830,39181,22.92,40890.0,4.1,2477.0,220.0,0,1
P00040,iPhone 13,Electronics,Apple,54352.0,51757.0,63488,52360,17.53,48955.0,4.4,5612.0,53.0,0,0
P00041,Godrej Office Chair,Furniture,Godrej,8481.0,9096.0,11090,9000,18.85,9307.0,2.8,2570.0,25.0,0,0
P00042,HP Pavilion Laptop,Electronics,HP,63106.0,56948.0,67619,58993,12.76,64664.0,4.1,4723.0,18.0,0,0
P00043,iPhone 14,Electronics,Apple,59216.0,58091.0,78587,65577,16.55,69512.0,3.8,957.0,153.0,0,0
P00044,Samsung Galaxy S23,Electronics,Samsung,69863.0,66735.0,85623,72742,15.04,80936.0,3.0,5697.0,51.0,0,0
P00045,iPhone 14,Electronics,Apple,73337.0,59312.0,83644,71013,15.1,73427.0,4.8,5821.0,8.0,0,0
P00046,LG Refrigerator,Appliances,LG,43264.0,45040.0,45692,40756,10.8,42965.0,3.2,4359.0,219.0,0,0
P00047,Boat Smart Watch,Electronics,Boat,7929.0,7856.0,9996,8010,19.87,7654.0,3.8,5753.0,203.0,1,0
P00048,Voltas Air Conditioner,Appliances,Voltas,35782.0,36916.0,37424,30782,17.75,32983.0,4.3,6399.0,206.0,1,1
P00049,Whirlpool Washing Machine,Appliances,Whirlpool,20579.0,22031.0,23608,21216,10.13,23312.0,3.4,2282.0,76.0,0,0
P00050,iPhone 14,Electronics,Apple,62268.0,62322.0,73599,59374,19.33,66484.0,3.3,4548.0,135.0,1,0
P00051,Ikea Wooden Dining Table,Furniture,Ikea,42048.0,40989.0,48114,39334,18.25,40802.0,3.5,,236.0,1,1
P00052,Dell Inspiron Laptop,Electronics,Dell,63323.0,78949.0,85750,62265,27.39,69441.0,4.4,717.0,41.0,1,1
P00053,iPhone 14,Electronics,Apple,60042.0,58547.0,70482,58948,16.36,55313.0,4.4,4713.0,38.0,0,0
P00054,Voltas Air Conditioner,Appliances,Voltas,54128.0,51662.0,68118,48034,29.48,52295.0,4.1,6096.0,213.0,1,0
P00055,Dell Inspiron Laptop,Electronics,Dell,63150.0,64302.0,86191,68470,20.56,73247.0,3.7,3274.0,178.0,1,0
P00056,Godrej Office Chair,Furniture,Godrej,11497.0,12312.0,13121,9554,27.19,9912.0,3.4,3485.0,57.0,1,1
P00057,iPhone 13,Electronics,Apple,65290.0,70032.0,87697,67639,22.87,70586.0,3.7,1103.0,8.0,0,1
P00058,Dell Inspiron Laptop,Electronics,Dell,68387.0,63914.0,69805,59669,14.52,57395.0,3.1,5291.0,36.0,0,0
P00059,Adidas Sneakers,Fashion,Adidas,5508.0,5522.0,7115,5778,18.79,6254.0,3.9,443.0,107.0,0,0
P00060,Ikea Wooden Dining Table,Furniture,Ikea,47953.0,49052.0,47239,39197,17.02,42808.0,4.1,935.0,113.0,1,1
P00061,Dell Inspiron Laptop,Electronics,Dell,57957.0,60384.0,84385,63389,24.88,67607.0,4.3,371.0,44.0,0,1
P00062,HP Pavilion Laptop,Electronics,HP,55091.0,56049.0,64560,53945,16.44,60095.0,4.7,3323.0,177.0,0,0
P00063,HP Pavilion Laptop,Electronics,HP,45704.0,46300.0,51724,45952,11.16,47580.0,4.7,5268.0,177.0,0,0
P00064,Boat Smart Watch,Electronics,Boat,5808.0,5147.0,5819,4423,23.99,4271.0,4.7,6387.0,229.0,1,1
P00065,Nike Running Shoes,Fashion,Nike,7982.0,6696.0,7750,6158,20.54,5696.0,3.3,3422.0,126.0,1,0
P00066,Puma Casual T-Shirt,Fashion,Puma,2137.0,2168.0,3145,2379,24.36,2193.0,3.6,4293.0,93.0,0,0
P00067,Dell Inspiron Laptop,Electronics,Dell,67177.0,59765.0,83931,65926,21.45,71833.0,3.7,,171.0,1,0
P00068,Ikea Wooden Dining Table,Furniture,Ikea,31182.0,28402.0,37198,30215,18.77,32417.0,3.9,6183.0,181.0,0,0
P00069,iPhone 13,Electronics,Apple,63098.0,61484.0,75546,66286,12.26,68644.0,3.9,6173.0,110.0,0,1
P00070,iPhone 13,Electronics,Apple,70344.0,65457.0,66137,55644,15.87,58577.0,4.3,2841.0,24.0,1,0
P00071,Godrej Office Chair,Furniture,Godrej,6349.0,5954.0,6584,4758,27.73,5062.0,4.1,6122.0,63.0,1,1
P00072,Voltas Air Conditioner,Appliances,Voltas,45583.0,48935.0,60911,47497,22.02,47656.0,3.4,6211.0,168.0,1,0
P00073,Boat Smart Watch,Electronics,Boat,4294.0,4451.0,4429,3875,12.51,4208.0,3.0,2421.0,76.0,0,0
P00074,Samsung Galaxy S23,Electronics,Samsung,63572.0,69030.0,80268,64609,19.51,69574.0,4.6,409.0,220.0,1,0
P00075,Nike Running Shoes,Fashion,Nike,3224.0,3331.0,3999,3315,17.1,3209.0,4.8,6030.0,130.0,0,0
P00076,JBL Bluetooth Speaker,Electronics,JBL,3025.0,2866.0,3628,3082,15.05,3291.0,4.0,2920.0,191.0,1,0
P00077,JBL Bluetooth Speaker,Electronics,JBL,6957.0,6678.0,7695,6764,12.1,7548.0,2.8,5522.0,90.0,0,0
P00078,LG Refrigerator,Appliances,LG,39822.0,41392.0,51589,40309,21.87,43492.0,3.3,5631.0,71.0,0,0
P00079,Boat Smart Watch,Electronics,Boat,7948.0,7720.0,8775,7520,14.3,8275.0,4.9,2538.0,94.0,0,1
P00080,Dell Inspiron Laptop,Electronics,Dell,53997.0,52938.0,56973,51397,9.79,49955.0,4.8,,59.0,0,0
P00081,JBL Bluetooth Speaker,Electronics,JBL,6154.0,5756.0,6806,5919,13.03,5827.0,4.8,341.0,82.0,0,0
P00082,iPhone 13,Electronics,Apple,58591.0,54793.0,71298,57037,20.0,59428.0,4.0,4939.0,114.0,0,0
P00083,Godrej Office Chair,Furniture,Godrej,4874.0,5447.0,6361,5493,13.65,5711.0,4.8,5792.0,84.0,0,0
P00084,Whirlpool Washing Machine,Appliances,Whirlpool,29982.0,30867.0,37425,27181,27.37,28459.0,4.1,2055.0,28.0,1,0
P00085,JBL Bluetooth Speaker,Electronics,JBL,6433.0,5663.0,7869,6792,13.69,7310.0,4.1,837.0,112.0,0,0
P00086,Voltas Air Conditioner,Appliances,Voltas,50426.0,49428.0,62213,50449,18.91,51024.0,4.2,4749.0,215.0,0,1
P00087,Dell Inspiron Laptop,Electronics,Dell,52593.0,53890.0,61881,50566,18.29,52633.0,3.6,2792.0,111.0,0,0
P00088,Puma Casual T-Shirt,Fashion,Puma,2605.0,2656.0,2913,2259,22.45,2510.0,3.7,3418.0,92.0,0,1
P00089,iPhone 14,Electronics,Apple,64470.0,65593.0,82545,64575,21.77,69619.0,3.6,5917.0,152.0,0,0
P00090,Nike Running Shoes,Fashion,Nike,4680.0,4548.0,5985,4837,19.18,5336.0,4.7,351.0,148.0,0,0
P00091,HP Pavilion Laptop,Electronics,HP,73600.0,80036.0,84254,73811,12.39,81341.0,3.2,3692.0,130.0,0,0
P00092,Samsung TV 55 inch,Electronics,Samsung,80377.0,,89331,73896,17.28,68222.0,2.9,49.0,53.0,0,0
P00093,Adidas Sneakers,Fashion,Adidas,5685.0,5563.0,5947,5367,9.75,5387.0,3.0,1736.0,161.0,1,0
P00094,Dell Inspiron Laptop,Electronics,Dell,51190.0,53253.0,79777,64435,19.23,71927.0,4.3,5073.0,128.0,0,0
P00095,Samsung TV 55 inch,Electronics,Samsung,44357.0,38632.0,62553,46936,24.97,46476.0,4.8,2140.0,185.0,0,0
P00096,Adidas Sneakers,Fashion,Adidas,4901.0,5146.0,6185,4887,20.99,5277.0,3.1,6103.0,235.0,1,0
P00097,HP Pavilion Laptop,Electronics,HP,49409.0,43229.0,67286,51300,23.76,55582.0,3.3,6007.0,169.0,0,1
P00098,iPhone 14,Electronics,Apple,61744.0,74783.0,81534,64204,21.25,71462.0,3.1,45.0,206.0,0,0
P00099,HP Pavilion Laptop,Electronics,HP,59552.0,58903.0,64018,49771,22.25,45905.0,4.3,2467.0,201.0,1,1
P00100,Samsung TV 55 inch,Electronics,Samsung,89547.0,101375.0,106108,85440,19.48,82156.0,4.1,1409.0,7.0,1,1
P00101,JBL Bluetooth Speaker,Electronics,JBL,7317.0,6900.0,7736,7091,8.34,7669.0,3.1,1757.0,195.0,0,0
P00102,Adidas Sneakers,Fashion,Adidas,4038.0,3823.0,4636,3887,16.16,3935.0,4.0,5492.0,19.0,1,0
P00103,iPhone 13,Electronics,Apple,68230.0,70645.0,83680,62523,25.28,65833.0,4.2,2292.0,204.0,1,0
P00104,Nike Running Shoes,Fashion,Nike,4022.0,4112.0,4495,3284,26.94,3571.0,3.5,3672.0,17.0,1,1
P00105,iPhone 14,Electronics,Apple,77160.0,71629.0,91505,73309,19.89,72660.0,3.0,3863.0,249.0,0,0
P00106,Samsung Galaxy S23,Electronics,Samsung,58689.0,71653.0,78276,60354,22.9,56239.0,4.1,4801.0,84.0,1,0
P00107,Samsung Galaxy S23,Electronics,Samsung,55389.0,59396.0,66433,51917,21.85,49580.0,3.5,4931.0,99.0,1,0
P00108,Boat Smart Watch,Electronics,Boat,7166.0,7518.0,8676,7306,15.79,8002.0,4.4,2315.0,160.0,0,0
P00109,Ikea Wooden Dining Table,Furniture,Ikea,41259.0,39501.0,47700,33654,29.45,35855.0,3.5,1336.0,3.0,1,1
P00110,LG Refrigerator,Appliances,LG,22033.0,24145.0,30170,24757,17.94,27342.0,3.2,5503.0,58.0,0,0
P00111,Adidas Sneakers,Fashion,Adidas,6644.0,6803.0,8479,6773,20.12,7305.0,4.9,4311.0,162.0,0,0
P00112,Whirlpool Washing Machine,Appliances,Whirlpool,18879.0,18545.0,19001,16764,11.77,15884.0,4.4,2547.0,174.0,0,0
P00113,HP Pavilion Laptop,Electronics,HP,72128.0,68204.0,76490,62926,17.73,66494.0,3.0,4666.0,204.0,0,0
P00114,LG Refrigerator,Appliances,LG,26459.0,27905.0,30966,27753,10.38,26476.0,4.8,6391.0,81.0,1,0
P00115,Ikea Wooden Dining Table,Furniture,Ikea,35364.0,33482.0,40647,30326,25.39,29182.0,4.5,3444.0,38.0,0,0
P00116,iPhone 14,Electronics,Apple,68196.0,64009.0,86762,70827,18.37,70441.0,4.9,3185.0,188.0,0,0
P00117,Samsung TV 55 inch,Electronics,Samsung,68093.0,59087.0,63816,55922,12.37,55725.0,3.4,2471.0,116.0,0,0
P00118,LG Refrigerator,Appliances,LG,27673.0,25009.0,30752,22622,26.44,20870.0,4.4,4859.0,78.0,1,1
P00119,Godrej Office Chair,Furniture,Godrej,13406.0,14682.0,18291,13754,24.8,13400.0,3.0,6210.0,,1,1
P00120,HP Pavilion Laptop,Electronics,HP,54706.0,58847.0,67199,53923,19.76,55027.0,4.0,2599.0,180.0,0,0
P00121,iPhone 14,Electronics,Apple,67916.0,76330.0,75265,61376,18.45,59326.0,3.9,3821.0,40.0,1,1
P00122,Whirlpool Washing Machine,Appliances,Whirlpool,19400.0,20161.0,27903,20954,24.9,23110.0,4.7,5622.0,,0,0
P00123,JBL Bluetooth Speaker,Electronics,JBL,4912.0,5269.0,6480,5175,20.14,5610.0,3.9,3647.0,161.0,0,0
P00124,Puma Casual T-Shirt,Fashion,Puma,1330.0,1562.0,1677,1408,16.04,1395.0,4.5,734.0,101.0,0,0
P00125,Ikea Wooden Dining Table,Furniture,Ikea,12796.0,12867.0,14338,12342,13.92,11899.0,3.4,489.0,181.0,0,1
P00126,Ikea Wooden Dining Table,Furniture,Ikea,12369.0,12608.0,16264,13345,17.95,14173.0,3.3,1810.0,176.0,0,0
P00127,Dell Inspiron Laptop,Electronics,Dell,61168.0,64591.0,76183,63442,16.72,68159.0,4.2,2853.0,202.0,0,1
P00128,Adidas Sneakers,Fashion,Adidas,9560.0,11277.0,12649,8750,30.82,8282.0,4.8,4275.0,78.0,1,1
P00129,Puma Casual T-Shirt,Fashion,Puma,1082.0,1212.0,1334,1100,17.54,1205.0,4.3,4042.0,201.0,0,0
P00130,Samsung Galaxy S23,Electronics,Samsung,72834.0,86084.0,103311,75850,26.58,84367.0,4.0,564.0,68.0,1,1
P00131,Adidas Sneakers,Fashion,Adidas,6276.0,6274.0,7483,6238,16.64,5757.0,3.3,4210.0,97.0,0,0
P00132,LG Refrigerator,Appliances,LG,28612.0,33320.0,37466,29851,20.33,28872.0,3.5,1171.0,37.0,0,0
P00133,Dell Inspiron Laptop,Electronics,Dell,69250.0,60142.0,82878,68251,17.65,73278.0,4.3,1667.0,82.0,0,0
P00134,Ikea Wooden Dining Table,Furniture,Ikea,38589.0,31771.0,36176,29438,18.63,28939.0,4.8,838.0,189.0,1,0
P00135,Ikea Wooden Dining Table,Furniture,Ikea,23961.0,27739.0,30470,22509,26.13,20807.0,3.7,2226.0,203.0,1,1
P00136,Adidas Sneakers,Fashion,Adidas,7304.0,8074.0,8556,7302,14.66,7713.0,4.7,1031.0,157.0,0,0
P00137,iPhone 13,Electronics,Apple,60222.0,54189.0,67399,49094,27.16,50799.0,4.5,1840.0,236.0,1,1
P00138,JBL Bluetooth Speaker,Electronics,JBL,9952.0,9876.0,12017,10229,14.88,9985.0,3.8,4297.0,82.0,0,0
P00139,iPhone 13,Electronics,Apple,58442.0,62959.0,65923,56368,14.49,61581.0,2.9,3015.0,51.0,0,0
P00140,Nike Running Shoes,Fashion,Nike,2967.0,2748.0,3592,2822,21.44,3079.0,4.7,2126.0,7.0,1,0
P00141,iPhone 14,Electronics,Apple,79465.0,77349.0,94304,80063,15.1,76257.0,2.9,554.0,114.0,0,0
P00142,Godrej Office Chair,Furniture,Godrej,6191.0,5524.0,6684,4862,27.26,5108.0,3.7,174.0,174.0,0,0
P00143,iPhone 13,Electronics,Apple,46920.0,51238.0,60758,48702,19.84,50225.0,3.0,6006.0,219.0,0,0
P00144,iPhone 14,Electronics,Apple,73250.0,78801.0,83313,75424,9.47,78273.0,3.6,6288.0,54.0,0,0
P00145,LG Refrigerator,Appliances,LG,24653.0,23256.0,30557,21805,28.64,20075.0,4.6,6236.0,103.0,1,1
P00146,Dell Inspiron Laptop,Electronics,Dell,49629.0,50228.0,63182,49682,21.37,53420.0,3.8,3221.0,211.0,0,0
P00147,Voltas Air Conditioner,Appliances,Voltas,62370.0,68634.0,72274,62630,13.34,64983.0,3.8,247.0,98.0,0,0
P00148,Boat Smart Watch,Electronics,Boat,6912.0,7087.0,8891,7337,17.48,8125.0,4.6,1352.0,114.0,0,0
P00149,HP Pavilion Laptop,Electronics,HP,48784.0,50145.0,59538,51995,12.67,56858.0,4.2,2290.0,188.0,0,0
P00150,Godrej Office Chair,Furniture,Godrej,16966.0,15012.0,18626,13023,30.08,13921.0,3.2,151.0,140.0,1,0
P00151,Samsung Galaxy S23,Electronics,Samsung,62778.0,64818.0,67064,59524,11.24,57476.0,4.3,,124.0,0,0
P00152,Adidas Sneakers,Fashion,Adidas,4270.0,4285.0,4898,4352,11.15,4249.0,4.3,2372.0,117.0,0,0
P00153,Dell Inspiron Laptop,Electronics,Dell,40507.0,43703.0,47216,42966,9.0,45568.0,3.2,5021.0,165.0,0,0
P00154,Godrej Office Chair,Furniture,Godrej,10966.0,11876.0,14036,11405,18.74,11595.0,4.3,4620.0,75.0,0,0
P00155,HP Pavilion Laptop,Electronics,HP,85800.0,79534.0,87944,68575,22.02,75924.0,3.0,1917.0,178.0,0,0
P00156,Boat Smart Watch,Electronics,Boat,6153.0,5594.0,7097,6073,14.43,6641.0,4.2,4363.0,180.0,0,0
P00157,LG Refrigerator,Appliances,LG,32835.0,36087.0,38702,34511,10.83,36806.0,3.7,5080.0,174.0,0,0
P00158,Adidas Sneakers,Fashion,Adidas,10086.0,10026.0,10033,8260,17.67,8720.0,3.4,5813.0,188.0,1,0
P00159,Samsung TV 55 inch,Electronics,Samsung,85729.0,87716.0,95910,83811,12.61,78743.0,4.0,6371.0,62.0,1,0
P00160,Dell Inspiron Laptop,Electronics,Dell,70187.0,70324.0,80846,71948,11.01,77498.0,3.9,3937.0,55.0,0,0
P00161,Samsung Galaxy S23,Electronics,Samsung,66045.0,69701.0,73370,67655,7.79,70630.0,3.7,4080.0,167.0,0,1
P00162,Godrej Office Chair,Furniture,Godrej,15880.0,17894.0,19589,15925,18.7,17803.0,3.4,1667.0,62.0,1,0
P00163,Nike Running Shoes,Fashion,Nike,7047.0,7154.0,8056,7036,12.66,6774.0,3.5,3549.0,101.0,0,0
P00164,Nike Running Shoes,Fashion,Nike,4622.0,4747.0,5905,4767,19.27,4934.0,3.2,2298.0,76.0,0,0
P00165,Puma Casual T-Shirt,Fashion,Puma,1497.0,,1694,1427,15.76,1380.0,3.2,1783.0,30.0,0,0
P00166,Samsung Galaxy S23,Electronics,Samsung,55759.0,57439.0,71163,59310,16.66,54960.0,4.3,255.0,45.0,0,0
P00167,iPhone 13,Electronics,Apple,58625.0,56607.0,65953,54921,16.73,59889.0,3.2,5893.0,30.0,0,0
P00168,Ikea Wooden Dining Table,Furniture,Ikea,25396.0,29053.0,34429,24629,28.46,23186.0,4.6,83.0,184.0,1,1
P00169,LG Refrigerator,Appliances,LG,28476.0,27138.0,35426,29991,15.34,31483.0,3.1,320.0,127.0,0,0
P00170,Samsung TV 55 inch,Electronics,Samsung,48919.0,57266.0,63061,51527,18.29,51822.0,4.9,2330.0,187.0,0,1
P00171,iPhone 13,Electronics,Apple,53421.0,64611.0,86359,66864,22.57,62715.0,4.7,5201.0,28.0,1,0
P00172,LG Refrigerator,Appliances,LG,32775.0,30601.0,44750,36064,19.41,34674.0,4.7,6248.0,213.0,0,0
P00173,Boat Smart Watch,Electronics,Boat,5436.0,5661.0,6059,5424,10.48,5180.0,3.2,165.0,187.0,0,0
P00174,Ikea Wooden Dining Table,Furniture,Ikea,16331.0,17831.0,21663,16080,25.77,15700.0,3.8,228.0,53.0,1,0
P00175,Boat Smart Watch,Electronics,Boat,6720.0,6309.0,7190,5879,18.23,5899.0,3.4,,196.0,1,0
P00176,Nike Running Shoes,Fashion,Nike,7091.0,6964.0,7925,7013,11.51,6654.0,4.9,3473.0,235.0,0,0
P00177,Samsung TV 55 inch,Electronics,Samsung,79081.0,80147.0,85326,76729,10.08,85720.0,4.3,3282.0,228.0,0,0
P00178,Puma Casual T-Shirt,Fashion,Puma,1367.0,1464.0,1573,1352,14.05,1364.0,3.5,4403.0,5.0,0,0
P00179,HP Pavilion Laptop,Electronics,HP,45838.0,46874.0,52146,45672,12.42,43709.0,3.1,2418.0,50.0,0,0
P00180,Ikea Wooden Dining Table,Furniture,Ikea,28440.0,27511.0,30673,26467,13.71,24530.0,4.3,1987.0,200.0,0,0
P00181,JBL Bluetooth Speaker,Electronics,JBL,8793.0,8948.0,11352,9817,13.52,9154.0,4.1,,60.0,0,0
P00182,Samsung TV 55 inch,Electronics,Samsung,59517.0,63445.0,74505,63270,15.08,70342.0,4.5,6203.0,212.0,0,0
P00183,JBL Bluetooth Speaker,Electronics,JBL,7779.0,8048.0,9708,8488,12.57,7830.0,3.3,6421.0,241.0,0,0
P00184,LG Refrigerator,Appliances,LG,55002.0,57004.0,69478,57846,16.74,61156.0,4.1,5641.0,61.0,0,0
P00185,Godrej Office Chair,Furniture,Godrej,16179.0,14749.0,19033,15598,18.05,14840.0,3.8,841.0,31.0,1,0
P00186,Godrej Office Chair,Furniture,Godrej,16165.0,15774.0,15910,13103,17.64,13064.0,4.0,4062.0,112.0,1,0
P00187,Samsung TV 55 inch,Electronics,Samsung,64616.0,54744.0,69577,51454,26.05,49880.0,2.9,23.0,206.0,0,1
P00188,Whirlpool Washing Machine,Appliances,Whirlpool,24383.0,24904.0,27258,24291,10.88,25297.0,3.1,147.0,145.0,0,0
P00189,Samsung TV 55 inch,Electronics,Samsung,74897.0,75780.0,91029,79760,12.38,80895.0,4.5,3852.0,157.0,0,0
P00190,Dell Inspiron Laptop,Electronics,Dell,50345.0,56909.0,72982,61080,16.31,57921.0,4.6,2698.0,163.0,0,0
P00191,Nike Running Shoes,Fashion,Nike,3787.0,3618.0,3910,3477,11.07,3340.0,4.4,3597.0,54.0,0,0
P00192,Dell Inspiron Laptop,Electronics,Dell,69427.0,69938.0,85220,71179,16.48,65893.0,4.1,1248.0,172.0,0,0
P00193,JBL Bluetooth Speaker,Electronics,JBL,4882.0,5020.0,5704,3958,30.61,3781.0,4.9,6036.0,27.0,1,1
P00194,Samsung TV 55 inch,Electronics,Samsung,64906.0,55212.0,70929,48968,30.96,46639.0,3.3,1385.0,15.0,1,1
P00195,iPhone 13,Electronics,Apple,53723.0,54186.0,56885,49831,12.4,49381.0,3.2,3606.0,105.0,0,1
P00196,Samsung Galaxy S23,Electronics,Samsung,82115.0,93860.0,105369,73354,30.38,78987.0,3.8,1018.0,204.0,1,0
P00197,JBL Bluetooth Speaker,Electronics,JBL,10014.0,10142.0,11611,9963,14.19,10591.0,4.3,1059.0,124.0,1,0
P00198,JBL Bluetooth Speaker,Electronics,JBL,11340.0,11656.0,14730,12121,17.71,13178.0,4.3,497.0,74.0,0,0
P00199,Whirlpool Washing Machine,Appliances,Whirlpool,25544.0,24574.0,28560,24778,13.24,23868.0,4.1,5034.0,217.0,0,0
P00200,iPhone 13,Electronics,Apple,61666.0,61538.0,74499,63087,15.32,68941.0,4.6,1151.0,29.0,0,0
P00201,LG Refrigerator,Appliances,LG,19395.0,18484.0,23654,19224,18.73,21507.0,4.3,1798.0,165.0,0,0
P00202,Boat Smart Watch,Electronics,Boat,2813.0,2975.0,3696,2914,21.16,2883.0,3.2,3013.0,2.0,0,0
P00203,Nike Running Shoes,Fashion,Nike,6503.0,7039.0,7487,6324,15.53,6326.0,3.2,3964.0,21.0,0,0
P00204,Whirlpool Washing Machine,Appliances,Whirlpool,19527.0,18184.0,24366,19846,18.55,22008.0,4.1,2926.0,194.0,0,0
P00205,Puma Casual T-Shirt,Fashion,Puma,2182.0,2148.0,2643,2213,16.27,2278.0,2.8,2272.0,40.0,0,0
P00206,Godrej Office Chair,Furniture,Godrej,15790.0,15951.0,18405,14587,20.74,15138.0,4.5,3015.0,22.0,0,0
P00207,iPhone 13,Electronics,Apple,66048.0,67072.0,82982,64830,21.87,70444.0,4.5,2383.0,228.0,0,0
P00208,JBL Bluetooth Speaker,Electronics,JBL,8412.0,8166.0,8694,7803,10.25,8171.0,3.7,2737.0,218.0,0,0
P00209,iPhone 14,Electronics,Apple,76263.0,72036.0,83901,73342,12.59,77006.0,4.6,3369.0,234.0,0,1
P00210,Nike Running Shoes,Fashion,Nike,7160.0,7279.0,8616,7215,16.26,7094.0,3.9,5290.0,22.0,1,0
